study_hours,break_time,sleep_hours,focus_score,previous_score,course,difficulty,goal_type,energy_level,time_of_day,distraction,day,target
4.370861069626263,1.9014286128198323,8.39196365086843,6.387926357773329,49.36111842654619,dbms,high,exam,high,morning,high,saturday,Pomodoro
1.5077042112439023,1.4439975445336495,9.6313162540945,1.007008892569129,99.53269355747305,data structures,medium,revision,low,morning,low,wednesday,Pomodoro
6.506676052501415,0.27898772130408367,5.752867891211309,4.297256589643226,67.36419905302216,general,medium,exam,high,morning,high,friday,Pomodoro
6.467903667112945,0.34104824737458306,4.390309557911677,9.539969835279999,97.93792198447356,algorithms,medium,concept,medium,morning,medium,thursday,Spaced Repetition
3.1692291942341053,1.3665270376509164,7.659979946695725,8.49875420562548,50.401879210466326,data structures,medium,revision,medium,afternoon,medium,tuesday,Spaced Repetition
6.109302950379924,0.06262658491111717,9.05370864756999,5.047787200327891,63.709014160108865,operating systems,medium,exam,high,afternoon,high,thursday,Pomodoro
1.4070456001948426,0.6506606615265287,6.332063738136892,3.442141285965063,89.72425054911577,algorithms,low,concept,low,morning,high,friday,Pomodoro
1.6709557931179373,1.9737738732010346,8.633468615779945,2.7884411338075514,40.331327027416144,dbms,high,concept,high,night,low,wednesday,Pomodoro
1.6664018656068134,0.7169314570885452,4.695214357150778,8.767930832880342,77.39788760965348,algorithms,low,exam,high,afternoon,low,wednesday,Spaced Repetition
6.321680089369544,0.5494435859801283,7.367460555086207,4.446341872784108,98.30272572334623,dbms,low,concept,medium,night,high,saturday,Pomodoro
5.444160367279517,1.0454656587639881,6.565246110151298,1.2287721406968566,46.473485619598264,general,high,concept,low,afternoon,low,sunday,Pomodoro
6.439756413500355,1.0796821826033463,5.218367348408616,9.485682135021829,75.93192798931216,dbms,medium,revision,medium,morning,medium,monday,Spaced Repetition
1.9494483384724355,0.9130691409658205,5.310642623301002,4.748589530833296,92.9968155351321,algorithms,high,concept,high,afternoon,low,monday,Pomodoro
3.051416462877475,0.8542155772525126,8.90808859553496,8.74657524930709,40.41712783187144,dbms,low,revision,low,morning,high,tuesday,Pomodoro
4.038536542632651,1.8858194078250383,5.939217592124532,5.669115595690295,82.18113753371067,data structures,medium,concept,medium,afternoon,high,tuesday,Pomodoro
7.410435309319978,0.2961738599067998,9.98644291029365,3.401029128477565,98.59689734995916,operating systems,medium,exam,low,morning,low,wednesday,Pomodoro
7.126349063992901,1.0618691666342728,6.68669898743855,5.976037801641952,75.56180343276361,general,high,exam,low,night,medium,friday,Spaced Repetition
6.690752475342215,1.2670594215217894,7.214648104448551,1.8126079304896747,90.11814973535428,operating systems,high,revision,low,night,high,thursday,Pomodoro
1.1492904603507053,1.024186116598562,5.358974651187628,6.806555113685048,50.46198574029948,data structures,high,revision,low,night,low,monday,Spaced Repetition
2.881644586639423,1.0828959476551316,8.174706396070494,3.056950196175697,50.49729562575617,data structures,low,revision,low,afternoon,low,friday,Pomodoro
8.943727088704058,0.37741421668275876,5.6732281155530915,7.303220469754942,90.79966853429835,operating systems,medium,concept,high,morning,medium,thursday,Spaced Repetition
6.226179592928092,0.7445655331234862,9.64080065474667,9.762974530797855,57.03525848424794,mathematics,medium,revision,medium,night,low,monday,Spaced Repetition
2.583327274096108,0.036150727231041735,6.963362291100608,2.6094043829919595,61.988127074971594,general,high,concept,low,night,high,saturday,Pomodoro
3.386821309135529,0.48797928675816715,9.838063328514673,4.537879522000844,93.5227933106268,dbms,high,revision,low,afternoon,low,thursday,Pomodoro
7.020316536967897,1.7283351301438061,5.381111609449332,5.492740418962771,74.32025195255099,data structures,low,revision,low,afternoon,low,saturday,Spaced Repetition
4.331428302298999,0.030913233057734857,9.569911375526353,4.8536573348558285,97.99928914262017,dbms,low,exam,low,morning,high,monday,Pomodoro
3.852298046406499,0.338985493372185,7.340807574750101,9.425392967447028,81.76178780049838,mathematics,medium,exam,medium,night,medium,sunday,Spaced Repetition
5.664966871273631,1.7547461438559109,8.444611706525226,7.273141668957412,82.14904503922656,general,low,revision,high,afternoon,high,tuesday,Pomodoro
8.803650867220934,1.8264811051129426,7.068054393165626,5.513646652184796,87.89771073800651,data structures,medium,revision,high,night,high,thursday,Pomodoro
